Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLine,CountLineCode,CountSemicolon,CountDeclFunction
Unnamed Function,"(unnamed_function_1)","@l(unnamed_function_1)@p@l./actionscript/zxing client/html-template/history/history.js",6,,,,,,,,596,445,,
Unnamed Function,"(unnamed_function_1)","@l(unnamed_function_1)@p@l./actionscript/zxing client/bin-debug/history/history.js",6,,,,,,,,596,445,,
Function,"(unnamed_function_1)._initialize","@l(unnamed_function_1)._initialize@kw15(unnamed_function_1)._initialize:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",10,,,,,,,,65,55,,
Function,"(unnamed_function_1)._initialize","@l(unnamed_function_1)._initialize@kw15(unnamed_function_1)._initialize:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",10,,,,,,,,65,55,,
Unnamed Function,"(unnamed_function_1)._initialize.(unnamed_function_2)","@l(unnamed_function_1)._initialize.(unnamed_function_2)@p@l(unnamed_function_1)._initialize@kw15(unnamed_function_1)._initialize:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,3,3,,
Unnamed Function,"(unnamed_function_1)._initialize.(unnamed_function_2)","@l(unnamed_function_1)._initialize.(unnamed_function_2)@p@l(unnamed_function_1)._initialize@kw15(unnamed_function_1)._initialize:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,3,3,,
Function,"(unnamed_function_1)._storeStates","@l(unnamed_function_1)._storeStates@kw15(unnamed_function_1)._storestates:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",2,,,,,,,,5,5,,
Function,"(unnamed_function_1)._storeStates","@l(unnamed_function_1)._storeStates@kw15(unnamed_function_1)._storestates:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",2,,,,,,,,5,5,,
Function,"(unnamed_function_1).addAnchor","@l(unnamed_function_1).addAnchor@kw15(unnamed_function_1).addanchor:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",2,,,,,,,,6,6,,
Function,"(unnamed_function_1).addAnchor","@l(unnamed_function_1).addAnchor@kw15(unnamed_function_1).addanchor:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",2,,,,,,,,6,6,,
Function,"(unnamed_function_1).addHistoryEntry","@l(unnamed_function_1).addHistoryEntry@kw15(unnamed_function_1).addhistoryentry:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",9,,,,,,,,63,48,,
Function,"(unnamed_function_1).addHistoryEntry","@l(unnamed_function_1).addHistoryEntry@kw15(unnamed_function_1).addhistoryentry:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",9,,,,,,,,63,48,,
Public Method,"(unnamed_function_1).backStack","@l(unnamed_function_1).backStack@kw14(unnamed_function_1).backstack:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,1,1,,
Public Method,"(unnamed_function_1).backStack","@l(unnamed_function_1).backStack@kw14(unnamed_function_1).backstack:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,1,1,,
Public Method,"(unnamed_function_1).browserURLChange","@l(unnamed_function_1).browserURLChange@kw14(unnamed_function_1).browserurlchange:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",6,,,,,,,,22,20,,
Public Method,"(unnamed_function_1).browserURLChange","@l(unnamed_function_1).browserURLChange@kw14(unnamed_function_1).browserurlchange:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",6,,,,,,,,22,20,,
