Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLineCode,CountLine,CountSemicolon,CountDeclFunction
File,"AI013103DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI013103DecoderTest.java",,"1.17",,3,0,3,,,23,58,12,3
File,"AI013103decoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013103decoder.java",,"1.80",,3,0,3,,,15,49,5,3
File,"AI0132023203DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI0132023203DecoderTest.java",,"1.59",,2,0,2,,,17,53,9,2
File,"AI01320xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01320xDecoder.java",,"1.23",,3,0,3,,,22,57,7,3
File,"AI01392xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01392xDecoder.java",,"0.96",,2,0,2,,,28,68,17,2
File,"AI01393xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01393xDecoder.java",,"0.71",,2,0,2,,,38,78,22,2
File,"AI013X0X1XDecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI013X0X1XDecoderTest.java",,"0.36",,9,0,9,,,74,125,37,9
File,"AI013x0x1xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0x1xDecoder.java",,"0.44",,5,2,5,,,63,108,38,5
File,"AI013x0xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0xDecoder.java",,"1.35",,2,0,2,,,20,57,11,2
File,"AI01AndOtherAIs.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01AndOtherAIs.java",,"1.50",,2,0,2,,,20,58,13,2
File,"AI01decoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01decoder.java",,"0.72",,3,0,4,,,39,81,23,4
File,"AI01weightDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01weightDecoder.java",,"1.23",,4,0,4,,,22,60,14,4
File,"ASCIIEncoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/ASCIIEncoder.java",,"0.27",,2,0,3,,,59,82,31,3
